character,name,unicode,css_escape,category
©,copyright,U+00A9,\A9,"Currency, legal, and text symbols"
…,dots,U+2026,\2026,Dots and ellipses
},right_brace,U+007D,\7D,Brackets and delimiters
§,S,U+00A7,\A7,"Currency, legal, and text symbols"
†,dag,U+2020,\2020,"Currency, legal, and text symbols"
£,pounds,U+00A3,\A3,"Currency, legal, and text symbols"
&,ampersand,U+0026,\26,"Currency, legal, and text symbols"
#,hash,U+0023,\23,"Currency, legal, and text symbols"
%,percent,U+0025,\25,"Currency, legal, and text symbols"
✓,checkmark,U+2713,\2713,Geometric and shape symbols
®,circledR,U+00AE,\AE,"Currency, legal, and text symbols"
§,mathsection,U+E000,\E000,"Currency, legal, and text symbols"
⨿,amalg,U+2A3F,\2A3F,Basic operators
∪,cup,U+222A,\222A,Set theory and logic
⊕,oplus,U+2295,\2295,Basic operators
×,times,U+00D7,\D7,Basic operators
*,ast,U+002A,\2A,Basic operators
◃,triangleleft,U+25C3,\25C3,Geometric and shape symbols
⊗,otimes,U+2297,\2297,Basic operators
▹,triangleright,U+25B9,\25B9,Geometric and shape symbols
⋄,diamond,U+22C4,\22C4,Geometric and shape symbols
±,pm,U+00B1,\B1,Basic operators
÷,div,U+00F7,\F7,Basic operators
•,bullet,U+2022,\2022,Basic operators
∖,setminus,U+2216,\2216,Basic operators
⊎,uplus,U+228E,\228E,Basic operators
∩,cap,U+2229,\2229,Set theory and logic
∓,mp,U+2213,\2213,Basic operators
⊓,sqcap,U+2293,\2293,Set theory and logic
∨,vee,U+2228,\2228,Set theory and logic
⊙,odot,U+2299,\2299,Basic operators
⊔,sqcup,U+2294,\2294,Set theory and logic
∧,wedge,U+2227,\2227,Set theory and logic
ˆ,circ,U+02C6,\2C6,Basic operators
⊖,ominus,U+2296,\2296,Basic operators
☆,star,U+2606,\2606,Basic operators
≀,wr,U+2240,\2240,Basic operators
⌅,barwedge,U+2305,\2305,Basic operators
⊚,circledcirc,U+229A,\229A,Basic operators
⊡,boxdot,U+22A1,\22A1,Basic operators
⋉,ltimes,U+22C9,\22C9,Basic operators
⊞,boxplus,U+229E,\229E,Basic operators
⊠,boxtimes,U+22A0,\22A0,Basic operators
⋊,rtimes,U+22CA,\22CA,Basic operators
⊛,circledast,U+229B,\229B,Basic operators
⊲,lhd,U+22B2,\22B2,Basic operators
∏,prod,U+220F,\220F,Calculus and large operators
∐,coprod,U+2210,\2210,Calculus and large operators
∮,oint,U+222E,\222E,Calculus and large operators
⅋,parr,U+214B,\214B,Set theory and logic
&,with,U+E001,\E001,Set theory and logic
⨍,fint,U+2A0D,\2A0D,Calculus and large operators
∯,varoiint,U+222F,\222F,Calculus and large operators
∯,oiint,U+E002,\E002,Calculus and large operators
≈,approx,U+2248,\2248,Scientific and miscellaneous symbols
